Cluster Number,Cluster,Game Mode,Scoring Type,Notes
1,Chess,Bullet,1v1,
,,Rapid,1v1,
,,FPS,1v1,
2,Pokemon,Showdown (OU),1v1,
,,Showdown (Monotype),1v1,
,,Showdown (Random),1v1,
,,Infinite Fusion,1v1,
3,FPS,Operations Siege,Team,
,,Arsenal,FFA,
,,Krunker,1v1/FFA,
4,Roblox Combat,Zzzwrite vs imaginethis3 burger king rp,FFA,
,,Your Bizarre Adventure,1v1,
,,Star Wars Lightsaber Battles 2,1v1,
5,Roblox Sports/Party,Basketball Legends,Team,
,,Football Fusion,Team,
,,Outlaster,FFA,
6,Tetris,40L Sprint,Leaderboard,
,,Blitz,Leaderboard,
,,VS,1v1,
7,IO Games,Bonk,1v1/Team/FFA,
,,Diep,1v1/Team/FFA,
,,Paper,FFA,
8,Rhythm or Rhythm Adjacent,Osu std,1v1,
,,Quaver,1v1,
,,Geometry Dash,1v1,
9,Fighting,Brawhalla,1v1/2v2,winner is one that gets more progress
,,Tough Love Arena,1v1,
10,Minecraft,Blitz Duels,1v1,
,,Sumo Duels,1v1,
,,Classic Duels,1v1,
,,Bedwars,FFA,
,,Skywars,FFA,
,,Party Games,FFA,
,,Parkour,Leaderboard,
11,Running,40yd Dash,Leaderboard,
,,1 mile run,Leaderboard,
,,400m dash,Leaderboard,
12,Clash Royale,1v1,1v1,
,,2v2,2v2,
13,Waiver Rat,Rat.quiz,1v1,
,,Rat.face,1v1,first to 10
,,Rat.mash,1v1,first to 10
,,Rat.quiz (2v2),2v2,first to 10
14,Trivia,Seterra,Leaderboard,first to 10
,,Geoguessr,1v1/FFA,
,,Sporcle,Leaderboard,
,,Movie to Movie,Leaderboard,
,,Puckdoku,Leaderboard,
15,Poker,Texas Holdem,FFA,
,,Sticky Apple,FFA,
16,NYT Puzzles,Crossword,Leaderboard,
,,Wordle,Leaderboard,completion time (no error checking/google search)
,,Connections,Leaderboard,
,,Spelling Bee,Leaderboard,
17,Elementary Classics,[2048],Leaderboard,
,,NitroType,1v1/FFA,
18,Party Games,Overcooked 2,2v2,
,,Stumble Guys,FFA,
,,Uno,FFA,
19,Other,Madden 24,1v1,
,,League of Legends,1v1/Team,
,,Roark AOT Game,Team,
20,Meme,AMOGUS,???,
,,Flip a coin ðŸ’€,1v1,